product_id,display_name,description,price_usd
com.iacompa.sonidea.tip.001,Tip $1,Support Sonidea (consumable).,1.00
com.iacompa.sonidea.tip.002,Tip $2,Support Sonidea (consumable).,2.00
com.iacompa.sonidea.tip.003,Tip $3,Support Sonidea (consumable).,3.00
com.iacompa.sonidea.tip.004,Tip $4,Support Sonidea (consumable).,4.00
com.iacompa.sonidea.tip.005,Tip $5,Support Sonidea (consumable).,5.00
com.iacompa.sonidea.tip.006,Tip $6,Support Sonidea (consumable).,6.00
com.iacompa.sonidea.tip.007,Tip $7,Support Sonidea (consumable).,7.00
com.iacompa.sonidea.tip.008,Tip $8,Support Sonidea (consumable).,8.00
com.iacompa.sonidea.tip.009,Tip $9,Support Sonidea (consumable).,9.00
com.iacompa.sonidea.tip.010,Tip $10,Support Sonidea (consumable).,10.00
com.iacompa.sonidea.tip.011,Tip $11,Support Sonidea (consumable).,11.00
com.iacompa.sonidea.tip.012,Tip $12,Support Sonidea (consumable).,12.00
com.iacompa.sonidea.tip.013,Tip $13,Support Sonidea (consumable).,13.00
com.iacompa.sonidea.tip.014,Tip $14,Support Sonidea (consumable).,14.00
com.iacompa.sonidea.tip.015,Tip $15,Support Sonidea (consumable).,15.00
com.iacompa.sonidea.tip.016,Tip $16,Support Sonidea (consumable).,16.00
com.iacompa.sonidea.tip.017,Tip $17,Support Sonidea (consumable).,17.00
com.iacompa.sonidea.tip.018,Tip $18,Support Sonidea (consumable).,18.00
com.iacompa.sonidea.tip.019,Tip $19,Support Sonidea (consumable).,19.00
com.iacompa.sonidea.tip.020,Tip $20,Support Sonidea (consumable).,20.00
com.iacompa.sonidea.tip.021,Tip $21,Support Sonidea (consumable).,21.00
com.iacompa.sonidea.tip.022,Tip $22,Support Sonidea (consumable).,22.00
com.iacompa.sonidea.tip.023,Tip $23,Support Sonidea (consumable).,23.00
com.iacompa.sonidea.tip.024,Tip $24,Support Sonidea (consumable).,24.00
com.iacompa.sonidea.tip.025,Tip $25,Support Sonidea (consumable).,25.00
com.iacompa.sonidea.tip.026,Tip $26,Support Sonidea (consumable).,26.00
com.iacompa.sonidea.tip.027,Tip $27,Support Sonidea (consumable).,27.00
com.iacompa.sonidea.tip.028,Tip $28,Support Sonidea (consumable).,28.00
com.iacompa.sonidea.tip.029,Tip $29,Support Sonidea (consumable).,29.00
com.iacompa.sonidea.tip.030,Tip $30,Support Sonidea (consumable).,30.00
com.iacompa.sonidea.tip.031,Tip $31,Support Sonidea (consumable).,31.00
